id,sourceid,targetid,relation,prefixrelation
262,N1692040604,T51,isRelatedTo,edm:isRelatedTo
263,N1692040701,T51,isRelatedTo,edm:isRelatedTo
264,N1692040702,T14,isRelatedTo,edm:isRelatedTo
265,N1692040703,T14,isRelatedTo,edm:isRelatedTo
266,N1692040704,T14,isRelatedTo,edm:isRelatedTo
267,N1692040705,T51,isRelatedTo,edm:isRelatedTo
268,N1692040801,T51,isRelatedTo,edm:isRelatedTo
269,N1692040802,T14,isRelatedTo,edm:isRelatedTo
270,N1692040901,T51,isRelatedTo,edm:isRelatedTo
271,N1692040902,T14,isRelatedTo,edm:isRelatedTo
272,N1692040903,T14,isRelatedTo,edm:isRelatedTo
273,N1692040904,T14,isRelatedTo,edm:isRelatedTo
274,N1692040905,T04,isRelatedTo,edm:isRelatedTo
275,N1692041001,T51,isRelatedTo,edm:isRelatedTo
276,N1692041002,T38,isRelatedTo,edm:isRelatedTo
277,N1692041002,T01,isRelatedTo,edm:isRelatedTo
278,N1692041002,T60,isRelatedTo,edm:isRelatedTo
279,N1692041003,T35,isRelatedTo,edm:isRelatedTo
280,N1692041003,T06,isRelatedTo,edm:isRelatedTo
281,N1692041101,T51,isRelatedTo,edm:isRelatedTo
282,N1692041102,T14,isRelatedTo,edm:isRelatedTo
283,N1692041103,T14,isRelatedTo,edm:isRelatedTo
284,N1692041104,T05,isRelatedTo,edm:isRelatedTo
285,N1692041104,T11,isRelatedTo,edm:isRelatedTo
286,N1692041105,T68,isRelatedTo,edm:isRelatedTo
287,N1692041105,T57,isRelatedTo,edm:isRelatedTo
288,N1692041106,T68,isRelatedTo,edm:isRelatedTo
289,N1692041106,T25,isRelatedTo,edm:isRelatedTo
290,N1692041201,T05,isRelatedTo,edm:isRelatedTo
291,N1692041201,T39,isRelatedTo,edm:isRelatedTo
292,N1692041202,T14,isRelatedTo,edm:isRelatedTo
293,N1692041203,T58,isRelatedTo,edm:isRelatedTo
294,N1692041301,T51,isRelatedTo,edm:isRelatedTo
295,N1692041302,T14,isRelatedTo,edm:isRelatedTo
296,N1692041303,T14,isRelatedTo,edm:isRelatedTo
297,N1692041304,T01,isRelatedTo,edm:isRelatedTo
298,N1692041401,T51,isRelatedTo,edm:isRelatedTo
299,N1692041402,T14,isRelatedTo,edm:isRelatedTo
300,N1692041403,T14,isRelatedTo,edm:isRelatedTo
301,N1692041404,T14,isRelatedTo,edm:isRelatedTo
302,N1692041405,T01,isRelatedTo,edm:isRelatedTo
303,N1692041501,T01,isRelatedTo,edm:isRelatedTo
304,N1692041502,T25,isRelatedTo,edm:isRelatedTo
305,N1692041502,T18,isRelatedTo,edm:isRelatedTo
306,N1692041503,T68,isRelatedTo,edm:isRelatedTo
307,N1692041503,T25,isRelatedTo,edm:isRelatedTo
308,N1692041504,T68,isRelatedTo,edm:isRelatedTo
309,N1692041504,T25,isRelatedTo,edm:isRelatedTo
310,N1692041602,T42,isRelatedTo,edm:isRelatedTo
311,N1692041603,T14,isRelatedTo,edm:isRelatedTo
312,N1692041604,T47,isRelatedTo,edm:isRelatedTo
313,N1692041700,T14,isRelatedTo,edm:isRelatedTo
314,N1692041801,T05,isRelatedTo,edm:isRelatedTo
315,N1692041802,T04,isRelatedTo,edm:isRelatedTo
316,N1692041803,T14,isRelatedTo,edm:isRelatedTo
317,N1692041804,T14,isRelatedTo,edm:isRelatedTo
318,N1692041901,T14,isRelatedTo,edm:isRelatedTo
319,N1692041902,T14,isRelatedTo,edm:isRelatedTo
320,N1692041903,T05,isRelatedTo,edm:isRelatedTo
321,N1692041904,T10,isRelatedTo,edm:isRelatedTo
322,N1692042001,T42,isRelatedTo,edm:isRelatedTo
323,N1692042001,T50,isRelatedTo,edm:isRelatedTo
324,N1692042002,T14,isRelatedTo,edm:isRelatedTo
325,N1692042002,T10,isRelatedTo,edm:isRelatedTo
326,N1692042101,T14,isRelatedTo,edm:isRelatedTo
327,N1692042102,T05,isRelatedTo,edm:isRelatedTo
328,N1692042102,T11,isRelatedTo,edm:isRelatedTo
329,N1692042103,T35,isRelatedTo,edm:isRelatedTo
330,N1692042201,T13,isRelatedTo,edm:isRelatedTo
331,N1692042202,T05,isRelatedTo,edm:isRelatedTo
332,N1692042203,T14,isRelatedTo,edm:isRelatedTo
333,N1692042204,T14,isRelatedTo,edm:isRelatedTo
334,N1692042301,T04,isRelatedTo,edm:isRelatedTo
335,N1692042302,T14,isRelatedTo,edm:isRelatedTo
336,N1692042302,T50,isRelatedTo,edm:isRelatedTo
337,N1692042303,T14,isRelatedTo,edm:isRelatedTo
338,N1692042304,T36,isRelatedTo,edm:isRelatedTo
339,N1692042401,T01,isRelatedTo,edm:isRelatedTo
340,N1692042401,T05,isRelatedTo,edm:isRelatedTo
341,N1692042401,T12,isRelatedTo,edm:isRelatedTo
342,N1692042402,T14,isRelatedTo,edm:isRelatedTo
343,N1692042500,T05,isRelatedTo,edm:isRelatedTo
