id,sourceid,targetid,relation,prefixrelation
333,N1695100701,P0077,mentions,ekc:mentions
334,N1696011003,P0077,mentions,ekc:mentions
335,N1696083004,P0077,mentions,ekc:mentions
336,N1696092502,P0077,mentions,ekc:mentions
337,N1696092704,P0077,mentions,ekc:mentions
338,N1697050703,P0077,mentions,ekc:mentions
339,N1699022101,P0077,mentions,ekc:mentions
340,N1693101104,P0078,mentions,ekc:mentions
341,N1693101104,P0079,mentions,ekc:mentions
342,N1696061105,P0080,mentions,ekc:mentions
343,N1696061303,P0080,mentions,ekc:mentions
344,N1693071107,P0081,mentions,ekc:mentions
345,N1695072203,P0081,mentions,ekc:mentions
346,N1695112403,P0081,mentions,ekc:mentions
347,N1696040603,P0081,mentions,ekc:mentions
348,N1696120702,P0081,mentions,ekc:mentions
349,N1697032904L,P0081,mentions,ekc:mentions
350,N1697043002,P0081,mentions,ekc:mentions
351,N1698062401,P0081,mentions,ekc:mentions
352,N1699081901,P0081,mentions,ekc:mentions
353,N1695041408,P0082,mentions,ekc:mentions
354,N1695032803,P0084,mentions,ekc:mentions
355,N1695040303,P0084,mentions,ekc:mentions
356,N1694112504,P0085,mentions,ekc:mentions
357,N1695042902,P0085,mentions,ekc:mentions
358,N1695042903,P0085,mentions,ekc:mentions
359,N1693101902,P0086,mentions,ekc:mentions
360,N1693101301,P0087,mentions,ekc:mentions
361,N1693101902,P0087,mentions,ekc:mentions
362,N1693102005,P0087,mentions,ekc:mentions
363,N1693102102,P0087,mentions,ekc:mentions
364,N1693102203,P0087,mentions,ekc:mentions
365,N1693102302,P0087,mentions,ekc:mentions
366,N1694031902,P0088,mentions,ekc:mentions
367,N1694031902,P0089,mentions,ekc:mentions
368,N1693120202,P0090,mentions,ekc:mentions
369,N1694012002,P0090,mentions,ekc:mentions
370,N1694012106,P0090,mentions,ekc:mentions
371,N1694030403,P0090,mentions,ekc:mentions
372,N1694030405,P0090,mentions,ekc:mentions
373,N1694030501,P0090,mentions,ekc:mentions
374,N1694030503,P0090,mentions,ekc:mentions
375,N1694031902,P0090,mentions,ekc:mentions
376,N1694032000,P0090,mentions,ekc:mentions
377,N1694032201,P0090,mentions,ekc:mentions
378,N1694040601,P0090,mentions,ekc:mentions
379,N1694062104,P0090,mentions,ekc:mentions
380,N1694062201,P0090,mentions,ekc:mentions
381,N1694112103,P0090,mentions,ekc:mentions
382,N1695051102,P0090,mentions,ekc:mentions
383,N1695051301,P0090,mentions,ekc:mentions
384,N1696012104,P0090,mentions,ekc:mentions
385,N1696012105,P0090,mentions,ekc:mentions
386,N1697030805L,P0090,mentions,ekc:mentions
387,N1697030901L,P0090,mentions,ekc:mentions
388,N1697042605,P0090,mentions,ekc:mentions
389,N1698092104,P0090,mentions,ekc:mentions
390,N1694030404,P0091,mentions,ekc:mentions
391,N1694030503,P0091,mentions,ekc:mentions
392,N1694102701,P0091,mentions,ekc:mentions
393,N1696011205,P0091,mentions,ekc:mentions
394,N1696011301,P0091,mentions,ekc:mentions
395,N1695100704,P0093,mentions,ekc:mentions
396,N1697040603,P0094,mentions,ekc:mentions
397,N1697062102,P0094,mentions,ekc:mentions
398,N1697082203,P0094,mentions,ekc:mentions
399,N1698052501,P0094,mentions,ekc:mentions
400,N1697020402,P0095,mentions,ekc:mentions
401,N1692110601,P0096,mentions,ekc:mentions
402,N1692112401,P0096,mentions,ekc:mentions
403,N1693010201,P0096,mentions,ekc:mentions
404,N1693060201,P0096,mentions,ekc:mentions
405,N1695120701,P0096,mentions,ekc:mentions
406,N1695030802,P0097,mentions,ekc:mentions
407,N1696091604,P0097,mentions,ekc:mentions
408,N1698090502,P0097,mentions,ekc:mentions
409,N1693051601,P0098,mentions,ekc:mentions
410,N1693101405,P0098,mentions,ekc:mentions
411,N1695011802,P0098,mentions,ekc:mentions
412,N1696050403,P0098,mentions,ekc:mentions
413,N1696050503,P0098,mentions,ekc:mentions
